id,goScore,pythonScore,goAnomalyLabel,pythonAnomalyLabel
0,0.118047,0.440826,0,0
1,0.127309,0.446052,0,0
2,0.089128,0.471171,0,0
3,0.138265,0.400022,0,0
4,0.133096,0.424613,0,0
5,0.127186,0.462410,0,0
6,0.146869,0.402506,0,0
7,0.109739,0.461094,0,0
8,0.156177,0.386000,0,0
9,0.128330,0.435627,0,0
10,0.131261,0.424978,0,0
11,0.114710,0.418799,0,0
12,0.059375,0.511588,1,1
13,0.122331,0.436500,0,0
14,0.153393,0.381285,0,0
15,0.124808,0.445378,0,0
16,0.122516,0.440339,0,0
17,0.130312,0.423747,0,0
18,0.146905,0.405410,0,0
19,0.146493,0.411429,0,0
20,0.053145,0.523095,1,1
21,0.104831,0.471314,0,0
22,0.150151,0.395285,0,0
23,0.137890,0.397203,0,0
24,0.134186,0.431326,0,0
25,0.097185,0.496754,0,0
26,0.148049,0.387537,0,0
27,0.085172,0.515616,0,1
28,0.045519,0.554020,1,1
29,0.142833,0.395654,0,0
30,0.098180,0.460962,0,0
31,0.106057,0.455525,0,0
32,0.134045,0.425791,0,0
33,0.133010,0.416249,0,0
34,0.116284,0.441319,0,0
35,0.127690,0.422329,0,0
36,0.132299,0.452280,0,0
37,0.115191,0.449747,0,0
38,0.123957,0.434645,0,0
39,0.136845,0.422337,0,0
40,0.155669,0.377917,0,0
41,0.138662,0.425510,0,0
42,0.143318,0.395264,0,0
43,0.143401,0.386407,0,0
44,0.130393,0.424297,0,0
45,0.135233,0.417472,0,0
46,0.129325,0.422086,0,0
47,0.118544,0.442401,0,0
48,0.137137,0.407183,0,0
49,0.124355,0.449793,0,0
50,0.140401,0.429192,0,0
51,0.063163,0.516867,1,1
52,0.103368,0.468658,0,0
53,0.131339,0.413246,0,0
54,0.120021,0.432241,0,0
55,0.110338,0.451971,0,0
56,0.069142,0.531387,1,1
57,0.147648,0.402756,0,0
58,0.103736,0.459921,0,0
59,0.143898,0.401937,0,0
60,0.074749,0.509392,1,1
61,0.134639,0.409498,0,0
62,0.132638,0.430303,0,0
63,0.061914,0.514092,1,1
64,0.124962,0.461777,0,0
65,0.126599,0.432429,0,0
66,0.125267,0.433065,0,0
67,0.146461,0.390252,0,0
68,0.069288,0.541897,1,1
69,0.095324,0.457176,0,0
70,0.135070,0.419470,0,0
71,0.124003,0.437767,0,0
72,0.154401,0.381193,0,0
73,0.128090,0.422967,0,0
74,0.134346,0.434000,0,0
75,0.120561,0.453091,0,0
76,0.109218,0.448701,0,0
77,0.138919,0.395397,0,0
78,0.148580,0.390544,0,0
79,0.122289,0.429472,0,0
80,0.117689,0.451921,0,0
81,0.116044,0.453181,0,0
82,0.092393,0.492794,0,0
83,0.125680,0.435857,0,0
84,0.106850,0.461030,0,0
85,0.123860,0.424848,0,0
86,0.101708,0.485822,0,0
87,0.134308,0.425516,0,0
88,0.090306,0.499183,0,0
89,0.116659,0.477860,0,0
90,0.132716,0.426543,0,0
91,0.108096,0.446848,0,0
92,0.146589,0.398424,0,0
93,0.129729,0.432807,0,0
94,0.134508,0.419513,0,0
95,0.121457,0.451699,0,0
96,0.134717,0.399669,0,0
97,0.127085,0.435738,0,0
98,0.133221,0.418432,0,0
99,0.149162,0.388186,0,0
100,0.138617,0.412080,0,0
101,0.119791,0.442626,0,0
102,0.150028,0.386497,0,0
103,0.133603,0.405415,0,0
104,0.149966,0.388560,0,0
105,0.140150,0.399382,0,0
106,0.128306,0.446120,0,0
107,0.114287,0.449442,0,0
108,0.056178,0.523347,1,1
109,0.121808,0.446285,0,0
110,0.126452,0.429574,0,0
111,0.036458,0.556283,1,1
112,0.153825,0.380126,0,0
113,0.138993,0.407333,0,0
114,0.052375,0.503510,1,1
115,0.136562,0.411781,0,0
116,0.136412,0.420705,0,0
117,0.091298,0.498940,0,0
118,0.125331,0.445791,0,0
119,0.095191,0.506052,0,1
120,0.075648,0.514987,1,1
121,0.028504,0.568251,1,1
122,0.112969,0.447661,0,0
123,0.113184,0.446824,0,0
124,0.153979,0.382001,0,0
125,0.137600,0.429792,0,0
126,0.126175,0.443721,0,0
127,0.112784,0.448450,0,0
128,0.144000,0.395927,0,0
129,0.130405,0.427591,0,0
130,0.134893,0.430980,0,0
131,0.126215,0.439467,0,0
132,0.149093,0.395969,0,0
133,0.143859,0.394813,0,0
134,0.112931,0.449033,0,0
135,0.100366,0.465442,0,0
136,0.132371,0.432275,0,0
137,0.138101,0.404857,0,0
138,0.134693,0.466588,0,0
139,0.131710,0.418282,0,0
140,0.134160,0.401906,0,0
141,0.117547,0.420266,0,0
142,0.137961,0.414402,0,0
143,0.116909,0.441051,0,0
144,0.131993,0.420832,0,0
145,0.122606,0.447813,0,0
146,0.105896,0.443843,0,0
147,0.130934,0.427403,0,0
148,0.145716,0.405937,0,0
149,0.083735,0.486574,1,0
150,0.127086,0.425558,0,0
151,0.129775,0.437426,0,0
152,0.154500,0.382930,0,0
153,0.149425,0.397537,0,0
154,0.124766,0.443108,0,0
155,0.127700,0.424309,0,0
156,0.091085,0.491625,0,0
157,0.115054,0.458316,0,0
158,0.120131,0.438731,0,0
159,0.099636,0.461024,0,0
160,0.144636,0.419153,0,0
161,0.101848,0.485723,0,0
162,0.136938,0.417389,0,0
163,0.129416,0.419024,0,0
164,0.096931,0.498433,0,0
165,0.124914,0.425695,0,0
166,0.140092,0.411889,0,0
167,0.136580,0.420025,0,0
168,0.130202,0.425347,0,0
169,0.114196,0.444232,0,0
170,0.129550,0.424010,0,0
171,0.102434,0.471854,0,0
172,0.119925,0.449836,0,0
173,0.121229,0.407745,0,0
174,0.153485,0.378944,0,0
175,0.119433,0.435115,0,0
176,0.133070,0.412419,0,0
177,0.140341,0.390445,0,0
178,0.109997,0.482035,0,0
179,0.090390,0.484905,0,0
180,0.145620,0.390227,0,0
181,0.087080,0.481598,0,0
182,0.127433,0.433096,0,0
183,0.142476,0.403916,0,0
184,0.154511,0.389537,0,0
185,0.106725,0.479799,0,0
186,0.122579,0.434776,0,0
187,0.082666,0.535438,1,1
188,0.113942,0.441283,0,0
189,0.081456,0.480412,1,0
190,0.101378,0.469545,0,0
191,0.129705,0.433799,0,0
192,0.113248,0.449477,0,0
193,0.102302,0.472121,0,0
194,0.132549,0.443412,0,0
195,0.134308,0.407030,0,0
196,0.091926,0.485224,0,0
197,0.128404,0.419023,0,0
198,0.091490,0.480866,0,0
199,0.112210,0.442976,0,0
200,0.144915,0.396119,0,0
201,0.135848,0.399579,0,0
202,0.136432,0.427455,0,0
203,0.105966,0.475040,0,0
204,0.133203,0.414306,0,0
205,0.141994,0.396364,0,0
206,0.062273,0.524444,1,1
207,0.103280,0.465366,0,0
208,0.146099,0.383664,0,0
209,0.064230,0.523039,1,1
210,0.126189,0.422948,0,0
211,0.148374,0.383786,0,0
212,0.146722,0.391386,0,0
213,0.087872,0.505323,0,1
214,0.084778,0.481962,1,0
215,0.110765,0.459688,0,0
216,0.115148,0.442881,0,0
217,0.138722,0.407672,0,0
218,0.120815,0.450071,0,0
219,0.127367,0.452681,0,0
220,0.065673,0.525922,1,1
221,0.110130,0.474406,0,0
222,0.068062,0.509555,1,1
223,0.119419,0.428561,0,0
224,0.137659,0.422978,0,0
225,0.122280,0.477001,0,0
226,0.130352,0.429325,0,0
227,0.141443,0.396129,0,0
228,0.115498,0.453363,0,0
229,0.055045,0.556605,1,1
230,0.140620,0.412015,0,0
231,0.150045,0.386036,0,0
232,0.136905,0.411656,0,0
233,0.101487,0.463756,0,0
234,0.126213,0.460719,0,0
235,0.117054,0.456135,0,0
236,0.112455,0.455756,0,0
237,0.135755,0.419822,0,0
238,0.134363,0.432822,0,0
239,0.130170,0.431866,0,0
240,0.146625,0.396043,0,0
241,0.105003,0.482697,0,0
242,0.106876,0.486506,0,0
243,0.127326,0.423266,0,0
244,0.100325,0.490107,0,0
245,0.119135,0.436330,0,0
246,0.066136,0.497071,1,0
247,0.149381,0.393730,0,0
248,0.134806,0.406883,0,0
249,0.052466,0.541535,1,1
250,0.105217,0.450393,0,0
251,0.144498,0.394654,0,0
252,0.115806,0.458732,0,0
253,0.064316,0.532210,1,1
254,0.128495,0.439709,0,0
255,0.107271,0.484537,0,0
256,0.139169,0.403335,0,0
257,0.131836,0.434954,0,0
258,0.145389,0.390600,0,0
259,0.124445,0.433208,0,0
260,0.100560,0.444674,0,0
261,0.129780,0.444888,0,0
262,0.114130,0.474864,0,0
263,0.118652,0.435517,0,0
264,0.130522,0.421032,0,0
265,0.115478,0.451444,0,0
266,0.110777,0.486464,0,0
267,0.147407,0.399855,0,0
268,0.124275,0.418208,0,0
269,0.147824,0.389036,0,0
270,0.154558,0.378965,0,0
271,0.147386,0.407503,0,0
272,0.106510,0.469999,0,0
273,0.135846,0.441393,0,0
274,0.127179,0.432720,0,0
275,0.136151,0.437513,0,0
276,0.157116,0.383991,0,0
277,0.056792,0.515959,1,1
278,0.123143,0.441828,0,0
279,0.118910,0.450054,0,0
280,0.146762,0.396515,0,0
281,0.091510,0.484962,0,0
282,0.126737,0.435752,0,0
283,0.067676,0.531874,1,1
284,0.090057,0.473138,0,0
285,0.142539,0.396513,0,0
286,0.112660,0.482873,0,0
287,0.120809,0.425360,0,0
288,0.130785,0.426879,0,0
289,0.145758,0.415825,0,0
290,0.150720,0.378979,0,0
291,0.128626,0.429327,0,0
292,0.142161,0.412847,0,0
293,0.081711,0.515075,1,1
294,0.030966,0.546353,1,1
295,0.133353,0.433001,0,0
296,0.105975,0.453870,0,0
297,0.125242,0.441986,0,0
298,0.107397,0.466849,0,0
299,0.108513,0.472591,0,0
300,0.144184,0.399503,0,0
301,0.131671,0.421048,0,0
302,0.129724,0.424873,0,0
303,0.102861,0.491269,0,0
304,0.139754,0.412921,0,0
305,0.132524,0.420668,0,0
306,0.100049,0.491159,0,0
307,0.139612,0.412212,0,0
308,0.096989,0.484419,0,0
309,0.149371,0.385827,0,0
310,0.156714,0.383883,0,0
311,0.126585,0.451332,0,0
312,0.106362,0.456472,0,0
313,0.150091,0.394765,0,0
314,0.129148,0.433412,0,0
315,0.146395,0.397057,0,0
316,0.123233,0.426254,0,0
317,0.092181,0.499911,0,0
318,0.121187,0.445406,0,0
319,0.141004,0.400032,0,0
320,0.127259,0.436598,0,0
321,0.129865,0.437854,0,0
322,0.134226,0.428142,0,0
323,0.107646,0.478583,0,0
324,0.121481,0.424982,0,0
325,0.092850,0.497582,0,0
326,0.127344,0.453226,0,0
327,0.093119,0.458024,0,0
328,0.128040,0.439457,0,0
329,0.120406,0.451667,0,0
330,0.130405,0.446982,0,0
331,0.124098,0.432796,0,0
332,0.129499,0.431378,0,0
333,0.114961,0.456236,0,0
334,0.133645,0.425106,0,0
335,0.120815,0.427562,0,0
336,0.142759,0.395339,0,0
337,0.115540,0.458758,0,0
338,0.146253,0.410840,0,0
339,0.090841,0.499878,0,0
340,0.132115,0.422791,0,0
341,0.104783,0.485668,0,0
342,0.142104,0.399972,0,0
343,0.119734,0.449546,0,0
344,0.135774,0.413371,0,0
345,0.146961,0.392706,0,0
346,0.136796,0.412111,0,0
347,0.086714,0.510231,0,1
348,0.138408,0.420628,0,0
349,0.113408,0.461597,0,0
350,0.141350,0.424630,0,0
351,0.142535,0.393029,0,0
352,0.106668,0.455221,0,0
353,0.135109,0.414704,0,0
354,0.144880,0.396070,0,0
355,0.142337,0.396966,0,0
356,0.133802,0.416439,0,0
357,0.140797,0.393632,0,0
358,0.149055,0.388626,0,0
359,0.108171,0.473388,0,0
360,0.085821,0.475356,0,0
361,0.117990,0.460207,0,0
362,0.143846,0.418869,0,0
363,0.141591,0.407738,0,0
364,0.152529,0.394715,0,0
365,0.110878,0.478294,0,0
366,0.153892,0.380044,0,0
367,0.120472,0.461441,0,0
368,0.139788,0.408159,0,0
369,0.140783,0.409540,0,0
370,0.143719,0.390931,0,0
371,0.119222,0.444587,0,0
372,0.138977,0.419540,0,0
373,0.129794,0.421875,0,0
374,0.131315,0.429090,0,0
375,0.097080,0.502980,0,1
376,0.139883,0.415876,0,0
377,0.114393,0.441235,0,0
378,0.096573,0.490460,0,0
379,0.140986,0.408851,0,0
380,0.104228,0.488889,0,0
381,0.110098,0.474415,0,0
382,0.143954,0.393380,0,0
383,0.145562,0.411213,0,0
384,0.127094,0.425854,0,0
385,0.060678,0.533992,1,1
386,0.101856,0.490423,0,0
387,0.127406,0.424823,0,0
388,0.147433,0.403903,0,0
389,0.144669,0.390284,0,0
390,0.118712,0.439527,0,0
391,0.093418,0.494749,0,0
392,0.086972,0.504081,0,1
393,0.106014,0.439674,0,0
394,0.141003,0.412353,0,0
395,0.128042,0.447532,0,0
396,0.142347,0.412564,0,0
397,0.145656,0.395666,0,0
398,0.152408,0.386105,0,0
399,0.092550,0.491504,0,0
400,0.098294,0.498115,0,0
401,0.140579,0.419234,0,0
402,0.136408,0.420456,0,0
403,0.122211,0.426797,0,0
404,0.102441,0.469705,0,0
405,0.110605,0.454708,0,0
406,0.139017,0.407047,0,0
407,0.127669,0.428449,0,0
408,0.153434,0.379678,0,0
409,0.132448,0.413040,0,0
410,0.093350,0.466894,0,0
411,0.134996,0.410138,0,0
412,0.150303,0.384717,0,0
413,0.135929,0.414456,0,0
414,0.127846,0.435314,0,0
415,0.093587,0.454615,0,0
416,0.140884,0.385351,0,0
417,0.127566,0.417660,0,0
418,0.142319,0.419129,0,0
419,0.143692,0.406152,0,0
420,0.142975,0.408777,0,0
421,0.127686,0.439925,0,0
422,0.127650,0.398082,0,0
423,0.144962,0.396233,0,0
424,0.080653,0.503434,1,1
425,0.131521,0.442526,0,0
426,0.059764,0.515921,1,1
427,0.082146,0.491002,1,0
428,0.134243,0.412645,0,0
429,0.064092,0.531906,1,1
430,0.138143,0.423165,0,0
431,0.129244,0.436969,0,0
432,0.099207,0.466608,0,0
433,0.118193,0.451837,0,0
434,0.129796,0.450540,0,0
435,0.085296,0.503095,0,1
436,0.143216,0.396494,0,0
437,0.130442,0.417293,0,0
438,0.130178,0.426045,0,0
439,0.101548,0.436572,0,0
440,0.061258,0.559403,1,1
441,0.150862,0.396402,0,0
442,0.145922,0.402247,0,0
443,0.146143,0.392338,0,0
444,0.128735,0.441044,0,0
445,0.115058,0.454442,0,0
446,0.117842,0.439640,0,0
447,0.141760,0.397987,0,0
448,0.086723,0.472770,0,0
449,0.131541,0.439297,0,0
450,0.154584,0.384928,0,0
451,0.121442,0.457359,0,0
452,0.103251,0.487701,0,0
453,0.093683,0.494996,0,0
454,0.157351,0.377892,0,0
455,0.141920,0.392055,0,0
456,0.136788,0.411345,0,0
457,0.120133,0.454470,0,0
458,0.068215,0.522888,1,1
459,0.126968,0.415874,0,0
460,0.133368,0.412829,0,0
461,0.116186,0.451418,0,0
462,0.062364,0.508908,1,1
463,0.138063,0.407556,0,0
464,0.024946,0.556997,1,1
465,0.121340,0.453756,0,0
466,0.156300,0.381538,0,0
467,0.100145,0.469680,0,0
468,0.086944,0.471444,0,0
469,0.102150,0.447948,0,0
470,0.146056,0.397738,0,0
471,0.133745,0.422596,0,0
472,0.146822,0.411359,0,0
473,0.086833,0.485575,0,0
474,0.131282,0.439887,0,0
475,0.143149,0.388118,0,0
476,0.126289,0.427070,0,0
477,0.108479,0.486753,0,0
478,0.100439,0.442402,0,0
479,0.122097,0.440874,0,0
480,0.121625,0.440282,0,0
481,0.109962,0.446768,0,0
482,0.146707,0.393005,0,0
483,0.078301,0.478378,1,0
484,0.154679,0.384727,0,0
485,0.106645,0.456382,0,0
486,0.094402,0.471374,0,0
487,0.119709,0.418804,0,0
488,0.109524,0.465936,0,0
489,0.095202,0.464297,0,0
490,0.119258,0.462055,0,0
491,0.131415,0.411546,0,0
492,0.138890,0.396552,0,0
493,0.110078,0.465364,0,0
494,0.101786,0.502271,0,1
495,0.101108,0.494086,0,0
496,0.127442,0.434868,0,0
497,0.123863,0.436317,0,0
498,0.136165,0.412485,0,0
499,0.121086,0.439855,0,0
500,0.131686,0.440117,0,0
501,0.134134,0.419559,0,0
502,0.146914,0.402530,0,0
503,0.133770,0.426673,0,0
504,0.094943,0.520564,0,1
505,0.122095,0.438662,0,0
506,0.106334,0.488705,0,0
507,0.136662,0.389226,0,0
508,0.136410,0.396542,0,0
509,0.102613,0.454998,0,0
510,0.151967,0.392222,0,0
511,0.124645,0.422911,0,0
512,0.116231,0.445938,0,0
513,0.130898,0.447093,0,0
514,0.147437,0.401780,0,0
515,0.094867,0.499016,0,0
516,0.101770,0.485288,0,0
517,0.112877,0.448848,0,0
518,0.134350,0.410077,0,0
519,0.077954,0.485047,1,0
520,0.130947,0.441254,0,0
521,0.102179,0.471081,0,0
522,0.105675,0.438995,0,0
523,0.133456,0.416725,0,0
524,0.092012,0.506266,0,1
525,0.125591,0.421358,0,0
526,0.060147,0.553342,1,1
527,0.126908,0.447073,0,0
528,0.089437,0.538177,0,1
529,0.127816,0.413698,0,0
530,0.112425,0.455332,0,0
531,0.116568,0.458229,0,0
532,0.123825,0.445326,0,0
533,0.132220,0.419957,0,0
534,0.118073,0.448596,0,0
535,0.125253,0.413634,0,0
536,0.137693,0.420580,0,0
537,0.126327,0.422597,0,0
538,0.153216,0.393402,0,0
539,0.109105,0.459454,0,0
540,0.126817,0.410555,0,0
541,0.127897,0.426531,0,0
542,0.116586,0.453909,0,0
543,0.132196,0.420521,0,0
544,0.103496,0.468550,0,0
545,0.139684,0.425793,0,0
546,0.117211,0.441994,0,0
547,0.140610,0.414668,0,0
548,0.100717,0.491218,0,0
549,0.104644,0.460811,0,0
550,0.143495,0.427167,0,0
551,0.108578,0.469840,0,0
552,0.138609,0.400896,0,0
553,0.137961,0.391256,0,0
554,0.102030,0.484052,0,0
555,0.118270,0.454011,0,0
556,0.142027,0.387521,0,0
557,0.092151,0.489162,0,0
558,0.120446,0.438477,0,0
559,0.123025,0.464190,0,0
560,0.141200,0.394800,0,0
561,0.107776,0.460968,0,0
562,0.102871,0.458079,0,0
563,0.102722,0.500685,0,1
564,0.137596,0.418538,0,0
565,0.114103,0.458825,0,0
566,0.142149,0.396951,0,0
567,0.120238,0.418967,0,0
568,0.104364,0.456524,0,0
569,0.131430,0.439837,0,0
570,0.075239,0.496467,1,0
571,0.124277,0.429852,0,0
572,0.153327,0.400177,0,0
573,0.138816,0.392265,0,0
574,0.140404,0.396917,0,0
575,0.132783,0.418985,0,0
576,0.126879,0.412908,0,0
577,0.079358,0.499200,1,0
578,0.138818,0.431070,0,0
579,0.121954,0.427409,0,0
580,0.133192,0.407462,0,0
581,0.118598,0.451168,0,0
582,0.110901,0.443378,0,0
583,0.129743,0.409895,0,0
584,0.134054,0.412213,0,0
585,0.130404,0.429763,0,0
586,0.133084,0.397162,0,0
587,0.137516,0.405963,0,0
588,0.147598,0.382169,0,0
589,0.131548,0.425350,0,0
590,0.142110,0.417066,0,0
591,0.084372,0.514139,1,1
592,0.135981,0.427664,0,0
593,0.139301,0.402632,0,0
594,0.124912,0.435236,0,0
595,0.132828,0.400354,0,0
596,0.088746,0.510204,0,1
597,0.126923,0.440223,0,0
598,0.114285,0.482915,0,0
599,0.136087,0.416254,0,0
600,0.143188,0.392972,0,0
601,0.134586,0.403562,0,0
602,0.119623,0.444760,0,0
603,0.108042,0.484832,0,0
604,0.155043,0.384314,0,0
605,0.114711,0.442284,0,0
606,0.046430,0.560542,1,1
607,0.119877,0.445893,0,0
608,0.120306,0.445558,0,0
609,0.131210,0.405568,0,0
610,0.104656,0.467156,0,0
611,0.132963,0.395265,0,0
612,0.111850,0.447508,0,0
613,0.117295,0.433012,0,0
614,0.108381,0.439280,0,0
615,0.122345,0.440167,0,0
616,0.111575,0.458660,0,0
617,0.111592,0.440373,0,0
618,0.152554,0.384360,0,0
619,0.112903,0.458262,0,0
620,0.098345,0.490576,0,0
621,0.142063,0.406422,0,0
622,0.092319,0.523812,0,1
623,0.119571,0.454017,0,0
624,0.132171,0.423715,0,0
625,0.145347,0.425246,0,0
626,0.075795,0.482740,1,0
627,0.131425,0.431323,0,0
628,0.130382,0.426224,0,0
629,0.115913,0.448875,0,0
630,0.146634,0.392980,0,0
631,0.128845,0.422989,0,0
632,0.077584,0.478819,1,0
633,0.104514,0.486213,0,0
634,0.147927,0.381606,0,0
635,0.115797,0.459883,0,0
636,0.144657,0.393967,0,0
637,0.136297,0.402361,0,0
638,0.154432,0.383316,0,0
639,0.118294,0.459395,0,0
640,0.078465,0.465394,1,0
641,0.135597,0.398073,0,0
642,0.094537,0.479653,0,0
643,0.105362,0.464776,0,0
644,0.133891,0.406434,0,0
645,0.109198,0.448601,0,0
646,0.140786,0.411983,0,0
